GeneID	GSM2791560	GSM2791561	GSM2791562	GSM2791563	GSM2791564	GSM2791565	GSM2791566	GSM2791567	GSM2791568	GSM2791569	GSM2791570	GSM2791571	GSM2791572	GSM2791573	GSM2791574	GSM2791575	GSM2791576	GSM2791577	GSM2791578	GSM2791579	GSM2791580	GSM2791581	GSM2791582	GSM2791583	GSM2791584	GSM2791585	GSM2791586	GSM2791587	GSM2791588	GSM2791589	GSM2791590	GSM2791591
100287102	4	9	9	4	1	1	1	2	7	5	4	6	3	0	3	1	2	2	2	4	1	2	1	2	2	2	3	2	1	2	0	2
653635	378	533	438	404	431	341	369	406	498	446	506	508	378	368	408	398	392	417	495	409	247	227	378	324	268	265	599	544	296	275	361	429
102466751	9	11	7	10	3	5	1	2	4	4	1	1	4	2	2	1	12	7	13	4	3	1	8	1	6	6	10	7	1	3	4	4
107985730	1	2	3	3	0	0	0	0	2	2	1	2	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1
100302278	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	2
645520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	2	9	4	10	2	7	4	19	6	14	3	10	4	16
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	1	0	0	0	0	0	3
100996442	55	98	71	63	8	17	23	32	30	46	13	27	40	28	30	22	61	71	104	59	23	25	56	41	33	41	76	70	38	48	66	79
729737	731	1238	803	1022	64	334	203	604	284	126	33	35	402	349	220	152	690	527	867	365	340	249	702	344	277	286	802	563	381	418	503	488
102725121	7	13	12	4	1	1	4	2	9	7	3	6	4	0	2	2	2	2	2	2	1	2	1	1	2	2	2	1	0	2	1	2
102723897	490	644	528	502	441	388	416	468	613	555	612	613	416	414	497	438	470	497	616	537	312	275	433	379	322	320	726	643	350	340	419	499
102465909	6	6	6	7	1	2	1	2	3	3	1	0	1	0	1	1	7	5	13	3	2	1	4	1	3	6	9	5	2	3	2	4
107985721	0	3	1	1	1	0	0	0	1	1	0	2	0	0	0	0	1	1	2	1	1	1	1	1	0	0	2	1	1	2	1	1
112268260	19	23	22	22	13	8	11	12	18	18	10	11	26	9	25	17	32	39	45	32	20	20	44	32	22	21	37	25	31	25	38	40
729759	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	2	4	0	0	0	0	0	0	0	0	0	5
